"asin","fnsku","product-name","fulfillment-center","country-code","longest-side","median-side","shortest-side","measurement-units","weight","weight-units","item-volume","volume-units","average-quantity-on-hand","average-quantity-pending-removal","estimated-total-item-volume","month-of-charge","storage-rate","currency","estimated-monthly-storage-fee","average-quantity-customer-orders"
"B0BQMSCT6Y","X001OW3FHB","CRASOME Apron for Kitchen | Unisex Cooking Apron with 2 Pockets and Adjustable Straps | Apron for Chef, Hotel, Cafe, Restaurant, Gardening, Workshop (Black Pack of 2)","HYD3","IN","17.10","13.69","5.60","centimeter","0.29","kilograms","0.0013","cubic meter","1.52","0.0","0.0020","2026-03","2083.88","INR","4.1543","0.0"
"B0BQMSCT6Y","X001OW3FHB","CRASOME Apron for Kitchen | Unisex Cooking Apron with 2 Pockets and Adjustable Straps | Apron for Chef, Hotel, Cafe, Restaurant, Gardening, Workshop (Black Pack of 2)","BLR4","IN","17.10","13.69","5.60","centimeter","0.29","kilograms","0.0013","cubic meter","4.16","0.0","0.0055","2026-03","2083.88","INR","11.3651","0.0"
"B0BQMSCT6Y","X001OW3FHB","CRASOME Apron for Kitchen | Unisex Cooking Apron with 2 Pockets and Adjustable Straps | Apron for Chef, Hotel, Cafe, Restaurant, Gardening, Workshop (Black Pack of 2)","BLR8","IN","17.10","13.69","5.60","centimeter","0.29","kilograms","0.0013","cubic meter","4.39","0.0","0.0058","2026-03","2083.88","INR","11.9966","0.0"
"B0BQMSCT6Y","X001OW3FHB","CRASOME Apron for Kitchen | Unisex Cooking Apron with 2 Pockets and Adjustable Straps | Apron for Chef, Hotel, Cafe, Restaurant, Gardening, Workshop (Black Pack of 2)","AMD2","IN","17.10","13.69","5.60","centimeter","0.29","kilograms","0.0013","cubic meter","1.61","0.0","0.0020","2026-03","2083.88","INR","4.2368","0.06"
"B0BQMSCT6Y","X001OW3FHB","CRASOME Apron for Kitchen | Unisex Cooking Apron with 2 Pockets and Adjustable Straps | Apron for Chef, Hotel, Cafe, Restaurant, Gardening, Workshop (Black Pack of 2)","BOM7","IN","17.10","13.69","5.60","centimeter","0.29","kilograms","0.0013","cubic meter","0.13","0.0","0.0002","2026-03","2083.88","INR","0.3541","0.0"
"B0BQMSCT6Y","X001OW3FHB","CRASOME Apron for Kitchen | Unisex Cooking Apron with 2 Pockets and Adjustable Straps | Apron for Chef, Hotel, Cafe, Restaurant, Gardening, Workshop (Black Pack of 2)","DED4","IN","17.10","13.69","5.60","centimeter","0.29","kilograms","0.0013","cubic meter","0.48","0.0","0.0005","2026-03","2083.88","INR","1.1447","0.06"
"B0BQMSCT6Y","X001OW3FHB","CRASOME Apron for Kitchen | Unisex Cooking Apron with 2 Pockets and Adjustable Straps | Apron for Chef, Hotel, Cafe, Restaurant, Gardening, Workshop (Black Pack of 2)","DEL4","IN","17.10","13.69","5.60","centimeter","0.29","kilograms","0.0013","cubic meter","1.9","0.0","0.0020","2026-03","2083.88","INR","4.2369","0.35"
"B0BQMSCT6Y","X001OW3FHB","CRASOME Apron for Kitchen | Unisex Cooking Apron with 2 Pockets and Adjustable Straps | Apron for Chef, Hotel, Cafe, Restaurant, Gardening, Workshop (Black Pack of 2)","BLR7","IN","17.10","13.69","5.60","centimeter","0.29","kilograms","0.0013","cubic meter","4.06","0.0","0.0045","2026-03","2083.88","INR","9.4237","0.61"
"B0BQMSCT6Y","X001OW3FHB","CRASOME Apron for Kitchen | Unisex Cooking Apron with 2 Pockets and Adjustable Straps | Apron for Chef, Hotel, Cafe, Restaurant, Gardening, Workshop (Black Pack of 2)","DEL5","IN","17.10","13.69","5.60","centimeter","0.29","kilograms","0.0013","cubic meter","1.19","0.0","0.0015","2026-03","2083.88","INR","3.1688","0.03"
"B0DVPQ48NW","X0029XAKVN","Crasome Dust & Water Proof Printer Cover for Canon Pixma G4770 (Grey)","BOM5","IN","15.70","14.50","4.70","centimeter","0.09","kilograms","0.0011","cubic meter","1.61","0.0","0.0017","2026-03","2083.88","INR","3.5936","0.0"
"B0DVPQ48NW","X0029XAKVN","Crasome Dust & Water Proof Printer Cover for Canon Pixma G4770 (Grey)","BOM5","IN","15.70","14.50","4.70","centimeter","0.09","kilograms","0.0011","cubic meter","0.29","0.26","0.0000","2026-03","2083.88","INR","0.0649","0.0"
"B0DVPQ48NW","X0029XAKVN","Crasome Dust & Water Proof Printer Cover for Canon Pixma G4770 (Grey)","DEL4","IN","15.70","14.50","4.70","centimeter","0.09","kilograms","0.0011","cubic meter","3.94","0.0","0.0042","2026-03","2083.88","INR","8.6566","0.06"
"B0DVPQ48NW","X0029XAKVN","Crasome Dust & Water Proof Printer Cover for Canon Pixma G4770 (Grey)","BLR4","IN","15.70","14.50","4.70","centimeter","0.09","kilograms","0.0011","cubic meter","1.97","0.0","0.0021","2026-03","2083.88","INR","4.3962","0.0"
"B0DVPQ48NW","X0029XAKVN","Crasome Dust & Water Proof Printer Cover for Canon Pixma G4770 (Grey)","BLR7","IN","15.70","14.50","4.70","centimeter","0.09","kilograms","0.0011","cubic meter","0.13","0.0","0.0001","2026-03","2083.88","INR","0.2891","0.0"
"B0DVPQ48NW","X0029XAKVN","Crasome Dust & Water Proof Printer Cover for Canon Pixma G4770 (Grey)","BOM7","IN","15.70","14.50","4.70","centimeter","0.09","kilograms","0.0011","cubic meter","0.32","0.0","0.0002","2026-03","2083.88","INR","0.4898","0.1"
"B0DVPQ48NW","X0029XAKVN","Crasome Dust & Water Proof Printer Cover for Canon Pixma G4770 (Grey)","BLR8","IN","15.70","14.50","4.70","centimeter","0.09","kilograms","0.0011","cubic meter","1.71","0.0","0.0018","2026-03","2083.88","INR","3.7471","0.03"
"B0DVPQ48NW","X0029XAKVN","Crasome Dust & Water Proof Printer Cover for Canon Pixma G4770 (Grey)","AMD2","IN","15.70","14.50","4.70","centimeter","0.09","kilograms","0.0011","cubic meter","1.29","0.0","0.0014","2026-03","2083.88","INR","2.8796","0.0"
"B0DVPQ48NW","X0029XAKVN","Crasome Dust & Water Proof Printer Cover for Canon Pixma G4770 (Grey)","DEL5","IN","15.70","14.50","4.70","centimeter","0.09","kilograms","0.0011","cubic meter","1.84","0.0","0.0020","2026-03","2083.88","INR","4.1071","0.0"
"B0DVPQ48NW","X0029XAKVN","Crasome Dust & Water Proof Printer Cover for Canon Pixma G4770 (Grey)","HYD8","IN","15.70","14.50","4.70","centimeter","0.09","kilograms","0.0011","cubic meter","3.0","0.0","0.0032","2026-03","2083.88","INR","6.6916","0.0"
"B0GQ98S46L","X002IV94H7","CRASOME Clothes Storage Bags with Handle | Saree Bags with Zip | Wardrobe Organizer for Cloth, Shirts, Salwar Suit, Lehenga | Transparent Window | Cloth Organiser (Blue Pack of 5)","HYD8","IN","23.30","13.79","10.30","centimeter","0.79","kilograms","0.0033","cubic meter","1.45","0.0","0.0048","2026-03","2083.88","INR","10.002","0.0"
